Country,ResellerID,Trans12Mo,Units12Mo
Mexico,62981179,2,5
Mexico,60079484,1,5
Mexico,63051109,1,5
Mexico,62509746,3,5
Mexico,63882265,1,5
Mexico,60566782,4,5
Mexico,61651843,1,5
Mexico,62660413,1,5
Mexico,64908822,1,5
Mexico,62188052,5,5
Mexico,62188066,2,5
Mexico,62188025,1,5
Mexico,61696304,3,5
Mexico,57522622,2,5
Mexico,58738411,1,5
Mexico,58655754,1,5
Mexico,57611137,2,5
Mexico,57771800,1,5
Mexico,58092582,1,5
Mexico,57478252,4,5
Mexico,58211589,1,5
Mexico,57428379,2,5
Mexico,57749566,1,5
Mexico,57435970,4,5
Mexico,57437536,2,5
Mexico,58983471,1,5
Mexico,58484693,1,5
Mexico,57963746,2,5
Mexico,57478336,1,5
Mexico,59239902,1,5
Mexico,58508699,5,5
Mexico,59566188,1,5
Mexico,57109057,3,5
Mexico,56830480,4,5
Mexico,55732065,2,5
Mexico,55731651,2,5
Mexico,55731589,1,5
Mexico,56258660,2,5
Mexico,56668149,1,5
Mexico,56317571,1,5
Mexico,55731985,1,5
Mexico,56836807,4,5
Mexico,56372692,4,5
Mexico,55731593,1,5
Mexico,56531416,3,5
Mexico,55731625,1,5
Mexico,56538898,2,5
Mexico,57204469,1,5
Mexico,53886847,1,5
Mexico,53975725,3,5
Mexico,53975129,4,5
Mexico,52446772,4,5
Mexico,52634705,1,5
Mexico,53093329,1,5
Mexico,52634348,3,5
Mexico,52609780,2,5
Mexico,52634634,2,5
Mexico,52660716,1,5
Mexico,50312763,2,5
Mexico,50312778,1,5
Mexico,49920537,3,5
Mexico,45732690,2,5
Mexico,43556879,1,5
Mexico,44508229,4,5
Mexico,43570541,4,5
Mexico,43436305,3,5
Mexico,41148525,3,5
Mexico,47100176,1,5
Mexico,44673843,2,5
Mexico,44331911,1,5
Mexico,44353104,5,5
Mexico,44388952,1,5
Mexico,37038147,1,5
Mexico,37456726,1,5
Mexico,36839330,2,5
Mexico,38918924,1,5
Mexico,38923597,1,5
Mexico,25467985,2,5
Mexico,22001762,2,5
